Title,Price,Area,Area-Type
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹40 Lac,820 sqft,Carpet Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹35 Lac,1056 sqft,Carpet Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹43.7 Lac,1182 sqft,Super Area
"3 BHK Flat for Sale in Kottara Chowk, Mangalore",₹78.4 Lac,1370 sqft,Super Area
"2 BHK Flat for Sale in Kottara Chowk, Mangalore",₹61.6 Lac,1065 sqft,Super Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹42.3 Lac,715 sqft,Super Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹42.1 Lac,710 sqft,Super Area
"2 BHK Flat for Sale in Kankanady, Mangalore",₹45 Lac,835 sqft,Super Area
"2 BHK Flat for Sale in Attavar, Mangalore",₹38 Lac,850 sqft,Super Area
"3 BHK Flat for Sale in Bikarnakatta, Mangalore",₹82 Lac,1787 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹32 Lac,1040 sqft,Carpet Area
"3 BHK Flat for Sale in Kottara Chowk, Mangalore",₹76.2 Lac,1330 sqft,Super Area
"2 BHK Flat for Sale in Kottara Chowk, Mangalore",₹61 Lac,1055 sqft,Super Area
"5 BHK Flat for Sale in Kadri, Mangalore",₹2.80 Cr,5055 sqft,Super Area
"2 BHK Flat for Sale in Kulashekara, Mangalore",₹75 Lac,1170 sqft,Carpet Area
"3 BHK Flat for Sale in Bondel, Mangalore",₹1.07 Cr,1810 sqft,Super Area
"3 BHK Flat for Sale in Padukodi, Mangalore",₹1018.80 Cr,1415 sqft,Super Area
"3 BHK Flat for Sale in Padukodi, Mangalore",₹1249.50 Cr,1470 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹35 Lac,840 sqft,Super Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹49.3 Lac,985 sqft,Super Area
"1 BHK Flat for Sale in Shakti Nagar, Mangalore",₹28 Lac,560 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹97 Lac,1410 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹77 Lac,1196 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹96 Lac,1410 sqft,Carpet Area
"3 BHK Flat for Sale in Bendoorwell, Mangalore",₹3409.06 Cr,2132 sqft,Super Area
"4 BHK Flat for Sale in Bendoorwell, Mangalore",₹5247.01 Cr,2645 sqft,Super Area
"1 BHK Flat for Sale in Balmatta, Mangalore",₹60.5 Lac,465 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹45 Lac,1200 sqft,Super Area
"3 BHK Flat for Sale in Pandeshwar, Mangalore",₹65 Lac,1620 sqft,Super Area
"2 BHK Flat for Sale in Nantoor, Mangalore",₹99 Lac,1300 sqft,Carpet Area
"2 BHK Flat for Sale in Padil, Mangalore",₹48.5 Lac,1150 sqft,Carpet Area
"2 BHK Flat for Sale in Kadri Hills, Mangalore",₹98 Lac,1450 sqft,Super Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹65 Lac,1260 sqft,Super Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.52 Cr,1942 sqft,Super Area
"2 BHK Flat for Sale in Jeppinamogaru, Mangalore",₹50 Lac,1100 sqft,Carpet Area
"6 BHK Flat for Sale in Kadri, Mangalore",₹38220.59 Cr,6912 sqft,Super Area
"2 BHK Flat for Sale in Maroli, Mangalore",₹36 Lac,1050 sqft,Carpet Area
"4 BHK Flat for Sale in Lalbagh, Mangalore",₹1.80 Cr,3600 sqft,Super Area
"3 BHK Flat for Sale in Lalbagh, Mangalore",₹88 Lac,1700 sqft,Super Area
"3 BHK Flat for Sale in Lalbagh, Mangalore",₹92 Lac,1700 sqft,Super Area
"2 BHK Flat for Sale in Lalbagh, Mangalore",₹40 Lac,950 sqft,Super Area
"2 BHK Flat for Sale in Kodailbail, Mangalore",₹78 Lac,1175 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹2.25 Cr,3100 sqft,Carpet Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹47 Lac,1050 sqft,Carpet Area
"3 BHK Flat for Sale in Kulai, Mangalore",₹1.05 Cr,1870 sqft,Super Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹42 Lac,1056 sqft,Carpet Area
"3 BHK Flat for Sale in Boloor, Mangalore",₹1.35 Cr,2250 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹30 Lac,850 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹42 Lac,1000 sqft,Carpet Area
"2 BHK Flat for Sale in Kadri, Mangalore",₹98 Lac,1450 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.55 Cr,2300 sqft,Super Area
"4 BHK Flat for Sale in Kadri, Mangalore",₹2.19 Cr,3250 sqft,Super Area
"4 BHK Flat for Sale in Kadri, Mangalore",₹2.66 Cr,3950 sqft,Super Area
"4 BHK Flat for Sale in Kadri, Mangalore",₹2.90 Cr,4300 sqft,Super Area
"4 BHK Flat for Sale in Kadri, Mangalore",₹3.11 Cr,4615 sqft,Super Area
"2 BHK Flat for Sale in Gurupura, Mangalore",₹38 Lac,1115 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹68 Lac,1050 sqft,Carpet Area
