Price,Area,BHK,Location,Type,Price_num,Price/Sqft
1.10 Cr,2445.0,3,Attavar,Flat,11000000.0,4499.0
37 Lac,800.0,1,Attavar,Flat,3700000.0,4625.0
68.3 Lac,1390.0,2,Mangaladevi,Flat,6830000.0,4914.0
1.15 Cr,1625.0,3,Bejai,Flat,11500000.0,7077.0
75 Lac,1675.0,3,Others,Flat,7500000.0,4478.0
75 Lac,1250.0,2,Ballalbagh,Flat,7500000.0,6000.0
50 Lac,1200.0,2,Surathkal,Flat,5000000.0,4167.0
46.6 Lac,1165.0,3,Kulshekar,Flat,4660000.0,4000.0
27 Lac,1237.5,2,road,Flat,2700000.0,2182.0
65.4 Lac,2115.0,3,Others,Flat,6540000.000000001,3092.0
42 Lac,880.0,2,Kottara,Flat,4200000.0,4773.0
45 Lac,1710.0,2,Others,Flat,4500000.0,2632.0
75 Lac,2202.0,3,Nagar,Flat,7500000.0,3406.0
46 Lac,1497.0,2,Others,Flat,4600000.0,3073.0
30 Lac,701.0,1,Kulshekar,Flat,3000000.0,4280.0
70 Lac,1080.0,2,Kuntikana,Flat,7000000.0,6481.0
52 Lac,1000.0,2,Kottara,Flat,5200000.0,5200.0
1.05 Cr,1435.0,3,Bejai,Flat,10500000.0,7317.0
40 Lac,770.0,1,Others,Flat,4000000.0,5195.0
1.25 Cr,1625.0,3,Bejai,Flat,12500000.0,7692.0
1.20 Cr,1675.5,2,Bejai,Flat,12000000.0,7162.0
1.05 Cr,2925.0,3,Bendoorwell,Flat,10500000.0,3590.0
31.3 Lac,1072.5,2,Kulshekar,Flat,3130000.0,2918.0
65.4 Lac,2250.0,3,Kulshekar,Flat,6540000.000000001,2907.0
65 Lac,2355.0,3,Others,Flat,6500000.0,2760.0
1332.66 Cr,1333.0,2,Kudroli,Flat,13326600000.0,9997449.0
1.12 Cr,1625.0,3,Bejai,Flat,11200000.000000002,6892.0
372.64 Cr,910.0,2,Bondel,Flat,3726400000.0,4094945.0
